CellV [A^3],Df,NASA [m^2/cm^3],total_SA_volumetric,total_POV_gravimetric,mc_CRY-chi-0-all,mc_CRY-chi-1-all,mc_CRY-chi-3-all,mc_CRY-Z-0-all,mc_CRY-Z-3-all,mc_CRY-T-1-all,mc_CRY-S-0-all,D_mc_CRY-S-2-all,sum-mc_CRY-chi-0-all,sum-mc_CRY-Z-1-all,lc-chi-3-all,lc-Z-0-all,lc-Z-2-all,lc-T-1-all,lc-alpha-0-all,D_lc-chi-1-all,D_lc-chi-3-all,D_lc-T-1-all,D_lc-T-3-all,D_lc-S-1-all,D_lc-alpha-2-all,func-chi-0-all,func-Z-1-all,D_func-chi-1-all,D_func-chi-3-all,D_func-Z-2-all,D_func-T-3-all,D_func-S-1-all,f-lig-T-1,sum-D_lc-Z-1-all,sum-D_lc-Z-3-all,sum-D_lc-T-2-all,sum-D_lc-alpha-1-all,sum-func-T-3-all,sum-D_func-chi-2-all,sum-D_func-T-1-all,sum-D_func-T-2-all,sum-f-lig-T-1,MNC,MPC,pure_CO2_kH,pure_CO2_widomHOA,pure_methane_kH,pure_uptake_CO2_298.00_15000,pure_uptake_methane_298.00_580000,logKH_CH4,temperature,time,solvent1,solvent2,solvent3,additive,param3,param4,param5,additive_category
2230.26,6.48385,0.0,956.982,0.275267,2.644566667,27.4544,56.95553333,526.3333333,1835.333333,89.33333333,1.859233333,3.846666667,15.8674,5268,29.844,61.5,121.3333333,13.16666667,32.535,1.068333333,4.395,-1.666666667,-1.5,-0.046666667,-7.6,5.9168,24.0,0.445,0.89,1.0,-2.0,-0.02,513.0,18.66666667,180.0,-29.33333333,-60.8,24.0,3.56,-8.0,-8.0,4104,-1.918,1.172,0.000184903,-26.52397758,3.16e-05,2.005733715,3.882314793,-4.500159017,160,96,31374,0,0,14798,-0.110283159,-0.095729659,0.393527106,0
3080.97,7.51715,0.0,970.131,0.241329,2.60464,29.14368,47.72448,1737.0,2275.2,94.8,2.095,5.592,26.0464,21600,31.04256,64.0,115.2,5.6,28.09,1.068,1.984,-2.4,0.0,-0.048,-6.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.0,28.8,134.4,-24.0,-86.4,0.0,0.0,0.0,0.0,1632,-0.524,1.74,1.02e-05,-22.20795623,1.8e-06,0.157713354,0.85396158,-5.745809753,120,45,962,0,0,0,-0.110283159,-0.010970215,0.182239898,1
1046.88,2.50265,334.935,334.935,0.0968031,2.4548,29.3056,41.2756,2220.5,2672.0,79.0,2.466,5.53,9.8192,8924,25.1444,61.5,115.5,4.5,32.535,0.905,0.710833333,-2.0,-0.833333333,-0.04,-6.466666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.0,12.0,15.5,-12.0,-37.8,0.0,0.0,0.0,0.0,732,-0.524,2.052,0.0771304,-54.45417784,5.28e-06,2.935753259,1.182473743,-5.277299458,140,72,962,702,0,971,-0.110283159,0.083073132,-0.129610464,2
3506.23,3.57437,296.212,296.212,0.116801,2.8561,29.068,42.64715,2304.0,2832.0,50.0,2.1904,3.195,22.8488,15360,18.3008,64.0,112.0,3.0,28.09,0.89,1.904,-2.0,-4.0,-0.04,-6.0,11.8336,74.0,1.645,5.15,5.0,-1.5,0.03,377.0,16.0,37.6,-16.8,-48.0,164.0,17.8,-12.0,-20.0,3016,-0.493,1.239,5.2e-05,-25.82635286,8.05e-06,0.634974176,1.747306895,-5.094269943,160,72,962,0,0,14798,-0.110283159,0.083073132,-0.129610464,0
3682.53,5.85474,0.0,662.175,0.130691,1.4884,34.6724,52.59013333,4356.0,6116.0,180.0,2.7889,8.106666667,8.9304,26136,23.80065,56.975,119.875,6.975,43.07125,0.729,1.70225,-1.7,-2.35,-0.0315,-6.0,1.3172,14.0,-0.05,0.0,0.0,0.0,0.0025,215.25,25.2,90.8,-26.4,-84.6,0.0,0.0,4.0,0.0,3444,-0.552,1.882,1.77e-05,-22.553596,5.67e-06,0.224989477,1.088535786,-5.246302064,85,48,962,6228,702,0,-0.110283159,-0.003003152,0.082883502,1
7068.18,3.95274,0.0,619.008,0.0687877,5.10406,41.32714667,138.81216,4513.266667,8900.0,69.86666667,2.016186667,0.261333333,306.2436,167440,14.44,49.0,105.0,12.0,54.76,0.98,1.33,-2.0,0.0,-0.04,1.9,9.2416,126.0,1.47,3.5,15.0,6.0,-0.06,360.0,16.0,56.0,0.0,-62.4,216.0,25.2,0.0,40.0,2880,-0.73,1.868,4.01e-05,-28.71658688,2.72e-06,0.429180412,0.709937882,-5.565309766,160,72,962,0,0,0,-0.110283159,0.083073132,-0.129610464,1
13033.2,3.15204,869.873,869.873,0.229967,3.61,26.80266667,54.29566667,841.0,1701.333333,46.66666667,1.9044,3.863333333,32.49,8526,32.43616,55.0,124.6,8.4,44.092,0.944,2.944,-2.0,-1.2,-0.04,-7.68,3.944533333,16.0,0.296666667,1.123333333,0.666666667,-1.0,-0.013333333,258.8,30.0,222.0,-36.0,-106.2,30.0,4.45,-10.0,-15.0,3882,-0.672,0.926,4.28e-05,-24.20993674,1.21e-05,0.524244258,2.398076119,-4.91864549,25,168,6228,962,0,8471,-0.110283159,-0.089079437,0.295377468,0
2887.95,2.71972,667.445,667.445,0.12489,4.185781818,33.52589091,100.1089455,1344.454545,4006.0,69.45454545,1.9044,1.505454545,92.0872,33158,20.87778462,50.15384615,124.9230769,11.69230769,52.70846154,1.000769231,1.550769231,-2.384615385,1.846153846,-0.062307692,-1.846153846,0.368930769,73.84615385,-0.769230769,0.0,0.0,0.0,0.203076923,109.5384615,17.0,144.0,0.0,-113.3,0.0,0.0,56.0,0.0,1424,-0.782,1.263,0.000323986,-48.67165211,2.02e-06,0.357192269,0.762806982,-5.694410049,160,96,962,0,0,313,-0.110283159,0.083073132,-0.129610464,2
6878.84,7.08849,0.0,2367.86,1.26348,3.61,26.144,45.524,841.0,1624.0,32.0,1.9044,2.44,28.88,7424,17.544,64.0,112.0,3.0,28.09,0.89,1.78,-2.0,-4.0,-0.04,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,690.0,8.0,16.0,-8.0,-24.0,0.0,0.0,0.0,0.0,2760,-0.415,0.905,2.54e-05,-15.53116956,9.11e-06,0.386127745,4.490365922,-5.040545509,100,18,962,31275,13387,0,0.389716841,0.061818741,-0.217196949,1
1221.09,10.72801,0.0,1441.6,0.443762,3.61,26.144,52.06,841.0,1856.0,40.0,1.9044,2.44,21.66,5568,22.99066667,64.0,106.6666667,3.0,28.09,0.89,2.49,-2.0,-4.666666667,-0.04,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192.0,6.0,21.0,-8.0,-18.0,0.0,0.0,0.0,0.0,576,-0.479,0.923,3.37e-05,-21.01297893,5e-06,0.510438603,2.460567681,-5.300688774,100,18,962,6228,0,0,-0.110283159,-0.003003152,0.082883502,1
